smiles,FishAT,DMAT,AlgAT,FishCT,DMCT,AlgCT,group
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,1,,,,,,test
CC(=O)C=CC1=C(C)CCCC1(C)C,1,,,,,,train
C=C1C2CCC(C2)C1(C)C,1,,,,,,train
CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,1,,,,,,train
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,1,,,,,,train
CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1,,,,,,valid
O=S1(=O)N2CN3CN1CN(C2)S3(=O)=O,1,,,,,,train
Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,0,,,,,,train
O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(Cl)cc1,1,,,,,,train
O=S(=O)(Oc1ccc(Cl)cc1)c1ccccc1,1,,,,,,train
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,1,,,,,,test
CCC(C)(C)c1ccc(O)cc1,1,,,,,,train
CC1(N)CCC(C(C)(C)N)CC1,1,,,,,,train
CC1=CCC2CC1C2(C)C,1,,,,,,train
C=C(C)C(=O)OC,0,,,,,,train
Clc1cccc(Cl)c1C(Cl)Cl,1,,,,,,valid
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,,,,,,train
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1O,0,,,,,,train
CC(C)(C)C(=O)C1C(=O)c2ccccc2C1=O,1,,,,,,train
Cc1c[nH]c2ccccc12,1,,,,,,train
CCCOC(=O)C1c2cc3c(cc2CC(C)C1C(=O)OCCC)OCO3,1,,,,,,test
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,1,,,,,,train
c1ccc(-c2ccccc2-c2ccccc2)cc1,1,,,,,,train
O=C(Oc1ccccc1)c1ccccc1C(=O)Oc1ccccc1,1,,,,,,train
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,1,,,,,,train
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,1,,,,,,valid
c1cc[n+]2c(c1)-c1cccc[n+]1CC2,1,,,,,,train
O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,1,,,,,,train
O=C1NC(=O)c2ccccc21,1,,,,,,train
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,1,,,,,,train
COP(=S)(OC)SCn1nnc2ccccc2c1=O,1,,,,,,test
O=[N+]([O-])c1cccc2ccccc12,1,,,,,,train
c1ccc2c(c1)[nH]c1ccccc12,1,,,,,,train
O=C(O)Cc1cccc2ccccc12,1,,,,,,train
O=C(Nc1ccccc1)c1ccccc1O,1,,,,,,train
Clc1cccc(Cl)c1Cl,1,,,,,,valid
Oc1c(Cl)cccc1Cl,1,,,,,,train
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,1,,,,,,train
OC1COC(O)C(O)C1O,0,,,,,,train
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,,,,,,train
O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl,1,,,,,,test
CCOC(=O)C(O)C(O)C(=O)OCC,0,,,,,,train
Cc1cc(O)cc(C)c1Cl,1,,,,,,train
Oc1c(Cl)cc(Cl)cc1Cl,1,,,,,,train
CCC(CC)C(=O)O,1,,,,,,train
O=[N+]([O-])c1ccc(O)cc1C(F)(F)F,1,,,,,,valid
Cc1ccc(C(C)(C)C)c(O)c1,1,,,,,,train
NC(=O)c1ccccc1N,0,,,,,,train
